code,level,name,parent_code,description
RS,project,پروژهٔ راه‌سازی,,تجمیع در سطح پروژه
CIV,cost_group,کارهای عمرانی,RS,عملیات خاکی آبرو روسازی و سازه‌ها
EARTH,work_type,عملیات خاکی,CIV,خاکبرداری خاکریزی تراکم و حمل
DRAIN,work_type,زهکشی,CIV,آبروها کانال‌ها و خروجی‌ها
PAVE,work_type,روسازی,CIV,زیر اساس اساس قیر و لایهٔ رویه
ASPH,work_type,آسفالت,PAVE,تولید حمل پخش و تراکم مخلوط آسفالتی
SITE,work_type,برپایی کارگاه,RS,تجهیز کارگاه دفتر نقشه‌برداری و کارهای موقت
HSE,control,ایمنی و ترافیک,RS,حفاظت کارکنان عموم و جریان ترافیک
QA,control,تضمین کیفیت,RS,بازرسی آزمایش عدم انطباق و رکوردها
PROC,control,تدارکات,RS,بسته‌های خرید تأمین‌کنندگان لجستیک و مصالح
LAND,interface,زمین و تأسیسات,RS,حریم راه ذی‌نفعان و رابط‌های تأسیسات
